VAL_PUTIN,HABITAT,MAN,AGE,IDEOL,INCOME
10,c. <10k hab,0,41,,
1,b. 10k-150k hab,0,43,5.0,4750.0
2,b. 10k-150k hab,1,50,2.0,2700.0
2,b. 10k-150k hab,0,24,2.0,2700.0
9,b. 10k-150k hab,1,19,5.0,
1,c. <10k hab,1,73,2.0,2200.0
1,b. 10k-150k hab,1,42,1.0,1100.0
3,b. 10k-150k hab,1,41,5.0,2700.0
6,b. 10k-150k hab,1,64,7.0,
8,b. 10k-150k hab,1,57,4.0,2700.0
0,b. 10k-150k hab,1,45,5.0,
9,b. 10k-150k hab,1,27,8.0,2700.0
5,a. >150k hab,0,66,7.0,2200.0
7,a. >150k hab,1,27,2.0,3500.0
6,c. <10k hab,0,29,5.0,950.0
2,b. 10k-150k hab,0,71,2.0,3500.0
7,c. < 10k hab,0,57,2.0,
0,a. >150k hab,0,75,4.0,
4,a. >150k hab,0,75,4.0,1500.0
2,a. >150k hab,1,40,1.0,6500.0
3,b. 10k-150k hab,1,74,5.0,
2,b. 10k-150k hab,0,41,5.0,1500.0
3,b. 10k-150k hab,1,31,3.0,1500.0
4,b. 10k-150k hab,1,67,5.0,1500.0
5,b. 10k-150k hab,0,46,6.0,
4,b. 10k-150k hab,0,39,8.0,1500.0
0,b. 10k-150k hab,0,72,5.0,
0,b. 10k-150k hab,0,25,2.0,
3,b. 10k-150k hab,0,68,4.0,750.0
0,c. <10k hab,0,72,4.0,1500.0
2,b. 10k-150k hab,1,79,5.0,
1,a. >150k hab,0,45,4.0,3500.0
0,a. >150k hab,0,57,3.0,1900.0
0,c. <10k hab,1,70,3.0,3500.0
0,b. 10k-150k hab,1,58,3.0,3500.0
3,c. <10k hab,1,60,3.0,950.0
5,b. 10k-150k hab,1,21,2.0,3500.0
1,a. >150k hab,1,50,2.0,2200.0
2,b. 10k-150k hab,0,56,5.0,
5,a. >150k hab,0,18,3.0,2700.0
0,a. >150k hab,0,35,5.0,3500.0
3,b. 10k-150k hab,0,33,3.0,1500.0
4,a. >150k hab,1,69,3.0,1500.0
0,b. 10k-150k hab,0,89,,750.0
0,b. 10k-150k hab,1,25,2.0,5500.0
3,b. 10k-150k hab,0,59,3.0,2200.0
4,b. 10k-150k hab,0,50,5.0,
6,b. 10k-150k hab,1,51,6.0,5500.0
4,b. 10k-150k hab,1,54,5.0,6500.0
0,b. 10k-150k hab,0,29,2.0,5500.0
2,a. >150k hab,1,36,6.0,2200.0
2,a. >150k hab,1,41,2.0,6500.0
10,b. 10k-150k hab,1,29,5.0,
4,a. >150k hab,0,39,2.0,
5,a. >150k hab,1,18,4.0,3500.0
3,c. < 10k hab,1,75,5.0,750.0
0,c. < 10k hab,1,49,3.0,1900.0
4,c. < 10k hab,0,47,0.0,450.0
7,c. < 10k hab,1,72,4.0,2700.0
2,c. < 10k hab,0,49,5.0,750.0
3,c. < 10k hab,1,52,1.0,2200.0
7,c. < 10k hab,1,42,7.0,
4,c. < 10k hab,0,88,5.0,750.0
0,a. >150k hab,1,21,4.0,1100.0
8,a. >150k hab,1,85,5.0,3500.0
5,a. >150k hab,0,30,2.0,1900.0
5,b. 10k-150k hab,1,75,5.0,2700.0
0,b. 10k-150k hab,1,48,0.0,2200.0
2,b. 10k-150k hab,1,73,4.0,1500.0
6,c. < 10k hab,0,48,3.0,2700.0
4,a. >150k hab,1,82,,1100.0
0,a. >150k hab,1,76,5.0,2700.0
4,a. >150k hab,1,71,5.0,
3,a. >150k hab,1,38,3.0,750.0
0,a. >150k hab,0,70,4.0,1900.0
0,c. < 10k hab,1,64,4.0,1100.0
0,c. < 10k hab,1,65,5.0,3500.0
5,c. < 10k hab,0,82,4.0,1500.0
2,c. < 10k hab,1,72,1.0,750.0
4,c. < 10k hab,0,72,5.0,1500.0
0,a. >150k hab,1,76,6.0,2700.0
3,a. >150k hab,0,69,1.0,450.0
1,a. >150k hab,1,39,5.0,2700.0
4,a. >150k hab,1,47,3.0,1500.0
5,a. >150k hab,1,75,5.0,
5,a. >150k hab,1,62,5.0,1100.0
5,a. >150k hab,0,48,3.0,
0,c. < 10k hab,1,63,2.0,1500.0
0,c. < 10k hab,0,40,1.0,4250.0
0,c. < 10k hab,0,46,5.0,2200.0
3,c. < 10k hab,1,44,3.0,2700.0
10,c. <10k hab,1,63,0.0,2700.0
3,c. <10k hab,1,35,7.0,2700.0
0,a. >150k hab,1,80,,
3,a. >150k hab,0,70,4.0,
1,a. >150k hab,1,62,3.0,2700.0
1,a. >150k hab,1,73,3.0,3500.0
1,a. >150k hab,1,47,3.0,
3,a. >150k hab,1,52,8.0,6500.0
4,b. 10k-150k hab,1,82,6.0,1500.0
0,b. 10k-150k hab,0,37,4.0,2200.0
1,b. 10k-150k hab,0,31,4.0,750.0
0,b. 10k-150k hab,0,41,5.0,
4,b. 10k-150k hab,0,71,3.0,950.0
0,b. 10k-150k hab,0,43,0.0,450.0
0,b. 10k-150k hab,1,32,4.0,4250.0
0,b. 10k-150k hab,1,30,5.0,750.0
10,a. >150k hab,1,50,,950.0
10,a. >150k hab,1,47,10.0,1500.0
4,a. >150k hab,0,67,6.0,1100.0
7,a. >150k hab,0,37,5.0,750.0
7,a. >150k hab,1,51,6.0,3500.0
7,a. >150k hab,0,40,,3500.0
2,c. <10k hab,0,44,5.0,4750.0
0,c. <10k hab,0,72,0.0,
2,a. >150k hab,0,55,1.0,1500.0
0,c. <10k hab,1,83,5.0,950.0
0,c. <10k hab,1,64,7.0,1500.0
0,c. <10k hab,0,65,5.0,
5,b. 10k-150k hab,0,83,5.0,1100.0
1,b. 10k-150k hab,1,71,3.0,2700.0
0,b. 10k-150k hab,0,70,5.0,
3,b. 10k-150k hab,1,33,2.0,1500.0
0,c. <10k hab,0,44,4.0,4750.0
10,c. <10k hab,1,77,2.0,
1,c. <10k hab,0,41,5.0,2200.0
0,c. <10k hab,1,77,,
0,a. >150k hab,1,23,3.0,1900.0
3,c. <10k hab,0,79,7.0,750.0
4,c. <10k hab,0,48,5.0,
8,c. <10k hab,0,37,4.0,1500.0
3,c. <10k hab,0,41,0.0,1100.0
4,a. >150k hab,0,24,5.0,750.0
6,a. >150k hab,1,33,5.0,950.0
5,a. >150k hab,1,39,4.0,1900.0
5,a. >150k hab,0,24,5.0,750.0
4,c. <10k hab,0,44,2.0,1500.0
6,c. <10k hab,1,26,5.0,4750.0
4,c. <10k hab,1,57,5.0,450.0
0,c. <10k hab,1,57,3.0,4250.0
1,c. <10k hab,0,33,5.0,2200.0
7,c. <10k hab,0,18,0.0,1500.0
0,c. <10k hab,0,55,1.0,
3,c. <10k hab,0,58,5.0,4750.0
5,a. >150k hab,1,33,3.0,3500.0
4,c. <10k hab,1,65,2.0,3500.0
10,c. <10k hab,0,50,5.0,4750.0
0,a. >150k hab,0,50,,
4,a. >150k hab,1,41,4.0,950.0
3,a. >150k hab,0,64,2.0,3500.0
3,a. >150k hab,0,47,2.0,3500.0
2,c. <10k hab,1,45,5.0,
2,c. <10k hab,0,50,3.0,3500.0
0,c. <10k hab,0,18,3.0,
3,c. <10k hab,0,57,7.0,
0,c. <10k hab,1,20,5.0,
1,c. <10k hab,0,20,7.0,
0,c. <10k hab,0,65,0.0,1500.0
3,c. < 10k hab,1,59,0.0,1900.0
0,c. < 10k hab,0,64,2.0,
4,c. < 10k hab,1,84,2.0,1100.0
4,c. < 10k hab,1,65,5.0,1500.0
0,c. < 10k hab,0,88,,750.0
0,c. < 10k hab,0,42,3.0,1500.0
7,c. < 10k hab,0,47,4.0,1500.0
0,c. < 10k hab,0,39,2.0,2700.0
7,c. < 10k hab,0,43,8.0,4250.0
0,c. < 10k hab,1,72,0.0,1500.0
0,b. 10k-150k hab,0,64,7.0,1500.0
2,b. 10k-150k hab,1,69,,1500.0
5,b. 10k-150k hab,0,49,,1500.0
0,b. 10k-150k hab,0,54,8.0,
2,a. >150k hab,1,60,6.0,
4,a. >150k hab,0,68,2.0,
2,a. >150k hab,1,82,3.0,1900.0
5,a. >150k hab,1,18,3.0,
5,a. >150k hab,0,69,5.0,1100.0
3,a. >150k hab,0,30,5.0,
1,a. >150k hab,1,76,1.0,5500.0
2,c. <10k hab,0,18,8.0,1900.0
0,c. <10k hab,1,70,5.0,1100.0
1,c. <10k hab,1,53,3.0,4250.0
3,c. <10k hab,1,61,5.0,2200.0
0,c. <10k hab,1,40,5.0,450.0
5,c. <10k hab,0,36,5.0,1100.0
5,c. <10k hab,1,67,5.0,1500.0
2,b. 10k-150k hab,0,67,1.0,1500.0
0,a. >150k hab,1,47,5.0,
3,a. >150k hab,0,48,3.0,1100.0
5,a. >150k hab,1,20,3.0,750.0
4,c. <10k hab,0,64,3.0,1100.0
6,c. <10k hab,1,25,5.0,2700.0
0,c. <10k hab,0,28,5.0,2200.0
3,c. <10k hab,1,75,5.0,2200.0
5,c. <10k hab,0,78,3.0,2200.0
0,c. <10k hab,1,56,4.0,4750.0
1,c. <10k hab,0,49,5.0,3500.0
7,c. <10k hab,1,62,4.0,2700.0
5,c. <10k hab,1,22,6.0,2700.0
4,a. >150k hab,0,74,4.0,2200.0
5,a. >150k hab,0,63,1.0,1100.0
0,a. >150k hab,1,90,5.0,1100.0
4,a. >150k hab,0,47,5.0,2200.0
0,a. >150k hab,0,51,4.0,
2,a. >150k hab,1,28,5.0,
2,a. >150k hab,1,69,4.0,
0,a. >150k hab,0,53,0.0,2700.0
3,a. >150k hab,1,70,9.0,1500.0
4,a. >150k hab,0,70,5.0,950.0
4,a. >150k hab,0,79,3.0,950.0
7,a. >150k hab,0,76,5.0,
0,a. >150k hab,0,71,5.0,
3,a. >150k hab,1,51,5.0,
5,a. >150k hab,1,65,3.0,4750.0
2,a. >150k hab,0,65,0.0,4750.0
3,a. >150k hab,1,42,7.0,
3,a. >150k hab,0,84,5.0,1500.0
5,b. 10k-150k hab,1,40,5.0,1100.0
4,c. <10k hab,1,18,5.0,3500.0
2,b. 10k-150k hab,1,83,5.0,1500.0
5,c. <10k hab,1,60,4.0,3500.0
2,c. < 10k hab,0,35,2.0,
0,a. >150k hab,0,57,3.0,5500.0
4,c. <10k hab,0,33,5.0,1100.0
1,a. >150k hab,0,59,2.0,2200.0
6,b. 10k-150k hab,1,28,2.0,2700.0
0,b. 10k-150k hab,0,34,,950.0
3,b. 10k-150k hab,0,40,5.0,
1,a. >150k hab,0,61,3.0,3500.0
1,a. >150k hab,0,72,3.0,1500.0
6,a. >150k hab,0,62,5.0,
6,c. < 10k hab,1,72,6.0,950.0
5,a. >150k hab,1,66,0.0,1100.0
2,a. >150k hab,1,43,4.0,3500.0
0,a. >150k hab,0,68,1.0,1500.0
5,c. < 10k hab,1,66,0.0,750.0
3,a. >150k hab,1,26,3.0,4250.0
1,a. >150k hab,1,41,2.0,2700.0
0,a. >150k hab,1,40,1.0,
8,a. >150k hab,0,30,5.0,1100.0
3,b. 10k-150k hab,1,35,3.0,2700.0
0,b. 10k-150k hab,0,18,2.0,1500.0
6,b. 10k-150k hab,0,63,4.0,1500.0
2,c. < 10k hab,1,77,4.0,1500.0
6,c. < 10k hab,1,80,3.0,1500.0
2,a. >150k hab,0,90,,1100.0
2,a. >150k hab,0,20,1.0,2700.0
6,c. <10k hab,0,45,5.0,2700.0
0,a. >150k hab,1,69,3.0,450.0
0,a. >150k hab,1,44,8.0,2700.0
5,a. >150k hab,0,40,5.0,
3,a. >150k hab,0,71,3.0,1500.0
0,a. >150k hab,1,23,4.0,1900.0
0,a. >150k hab,1,52,0.0,1500.0
2,a. >150k hab,1,44,0.0,
0,a. >150k hab,0,55,3.0,2700.0
0,a. >150k hab,1,34,5.0,2700.0
3,a. >150k hab,0,38,0.0,1500.0
0,a. >150k hab,0,87,1.0,1100.0
0,a. >150k hab,1,18,2.0,150.0
0,c. < 10k hab,1,47,1.0,6500.0
1,c. < 10k hab,0,45,6.0,1500.0
2,c. < 10k hab,0,45,6.0,2200.0
6,b. 10k-150k hab,1,38,1.0,950.0
0,b. 10k-150k hab,1,46,3.0,2700.0
4,b. 10k-150k hab,1,67,5.0,2200.0
0,b. 10k-150k hab,0,86,5.0,750.0
3,b. 10k-150k hab,0,53,2.0,750.0
4,b. 10k-150k hab,1,70,5.0,4250.0
9,b. 10k-150k hab,1,92,0.0,1500.0
0,b. 10k-150k hab,1,60,5.0,3500.0
0,b. 10k-150k hab,0,19,5.0,2200.0
0,b. 10k-150k hab,1,19,3.0,4250.0
0,a. >150k hab,1,59,4.0,2200.0
7,a. >150k hab,0,70,7.0,1500.0
8,b. 10k-150k hab,0,65,3.0,1900.0
6,b. 10k-150k hab,1,34,7.0,2700.0
2,b. 10k-150k hab,1,59,0.0,1100.0
0,b. 10k-150k hab,1,48,5.0,
5,b. 10k-150k hab,1,45,10.0,1500.0
1,a. >150k hab,0,63,3.0,2700.0
6,a. >150k hab,1,19,3.0,2200.0
1,a. >150k hab,1,50,3.0,4750.0
2,a. >150k hab,1,64,4.0,2700.0
1,a. >150k hab,1,43,5.0,3500.0
4,a. >150k hab,0,39,3.0,2700.0
6,a. >150k hab,1,23,2.0,
0,a. >150k hab,0,48,2.0,2200.0
4,c. < 10k hab,0,61,5.0,3500.0
4,c. < 10k hab,0,59,2.0,
6,c. < 10k hab,1,56,2.0,1.0
2,c. < 10k hab,0,89,3.0,
3,c. < 10k hab,0,53,2.0,2700.0
0,c. < 10k hab,0,75,5.0,750.0
3,c. < 10k hab,1,67,1.0,3500.0
8,b. 10k-150k hab,1,72,5.0,2200.0
3,b. 10k-150k hab,1,39,8.0,2200.0
2,b. 10k-150k hab,0,44,0.0,4250.0
5,b. 10k-150k hab,0,55,2.0,1100.0
3,a. >150k hab,0,55,3.0,2700.0
0,b. 10k-150k hab,0,65,4.0,3500.0
0,b. 10k-150k hab,1,24,1.0,4250.0
4,b. 10k-150k hab,0,48,5.0,3500.0
4,b. 10k-150k hab,0,52,4.0,2200.0
2,a. >150k hab,1,55,4.0,450.0
6,a. >150k hab,1,41,3.0,2700.0
2,a. >150k hab,0,84,5.0,950.0
4,a. >150k hab,0,51,5.0,2200.0
0,a. >150k hab,1,50,2.0,3500.0
4,a. >150k hab,1,41,5.0,3500.0
2,a. >150k hab,0,63,0.0,
3,a. >150k hab,0,66,3.0,750.0
7,a. >150k hab,0,31,,950.0
4,a. >150k hab,0,50,5.0,4750.0
0,a. >150k hab,0,72,3.0,
4,b. 10k-150k hab,1,70,5.0,1500.0
6,c. <10k hab,1,68,3.0,1100.0
0,b. 10k-150k hab,1,23,0.0,
0,c. <10k hab,1,51,2.0,1100.0
1,b. 10k-150k hab,1,43,5.0,950.0
1,c. <10k hab,1,18,5.0,3500.0
3,b. 10k-150k hab,1,68,4.0,1900.0
8,c. <10k hab,1,63,3.0,
4,a. >150k hab,0,53,2.0,1500.0
0,c. <10k hab,1,71,6.0,1500.0
0,c. <10k hab,0,56,2.0,5500.0
5,c. <10k hab,0,67,5.0,
2,c. <10k hab,0,49,6.0,
0,a. >150k hab,1,65,4.0,2700.0
2,b. 10k-150k hab,0,62,5.0,3500.0
2,c. <10k hab,1,66,3.0,3500.0
0,c. <10k hab,0,45,5.0,
3,a. >150k hab,0,67,4.0,450.0
3,b. 10k-150k hab,1,18,4.0,2700.0
3,b. 10k-150k hab,1,48,7.0,4750.0
4,b. 10k-150k hab,0,73,5.0,3500.0
0,b. 10k-150k hab,1,42,1.0,950.0
0,b. 10k-150k hab,1,53,5.0,3500.0
0,b. 10k-150k hab,0,63,5.0,2700.0
2,b. 10k-150k hab,1,35,0.0,2700.0
2,b. 10k-150k hab,0,50,2.0,2700.0
3,a. >150k hab,1,38,2.0,
3,a. >150k hab,1,50,6.0,4750.0
2,b. 10k-150k hab,0,74,2.0,1900.0
0,a. >150k hab,1,43,2.0,3500.0
5,b. 10k-150k hab,0,64,4.0,4750.0
3,b. 10k-150k hab,1,65,3.0,
2,a. >150k hab,1,58,6.0,2700.0
0,a. >150k hab,0,27,3.0,950.0
10,b. 10k-150k hab,0,22,,1900.0
0,b. 10k-150k hab,1,80,5.0,2700.0
10,b. 10k-150k hab,0,38,3.0,1100.0
6,b. 10k-150k hab,1,84,2.0,2200.0
0,a. >150k hab,0,37,4.0,3500.0
4,b. 10k-150k hab,1,39,3.0,4250.0
2,b. 10k-150k hab,1,34,3.0,2700.0
0,b. 10k-150k hab,1,66,5.0,1500.0
3,b. 10k-150k hab,1,57,8.0,
1,b. 10k-150k hab,0,74,5.0,2200.0
0,b. 10k-150k hab,0,28,3.0,1900.0
0,b. 10k-150k hab,1,56,0.0,450.0
3,b. 10k-150k hab,0,63,3.0,1900.0
0,a. >150k hab,1,72,8.0,950.0
4,a. >150k hab,1,62,2.0,1900.0
3,b. 10k-150k hab,1,85,5.0,2700.0
0,b. 10k-150k hab,0,51,0.0,1500.0
0,b. 10k-150k hab,0,41,4.0,2700.0
5,c. < 10k hab,0,45,5.0,2200.0
2,c. < 10k hab,0,64,5.0,3500.0
1,b. 10k-150k hab,0,28,3.0,4750.0
0,a. >150k hab,0,86,2.0,750.0
8,a. >150k hab,0,78,7.0,2700.0
6,c. < 10k hab,0,69,5.0,750.0
0,c. < 10k hab,0,46,5.0,1500.0
1,c. < 10k hab,0,69,4.0,
3,c. < 10k hab,1,66,3.0,2200.0
7,c. < 10k hab,1,54,5.0,1500.0
0,c. < 10k hab,1,61,5.0,2200.0
4,c. < 10k hab,0,46,6.0,6500.0
3,c. < 10k hab,0,42,,1500.0
4,c. < 10k hab,0,44,4.0,2700.0
6,b. 10k-150k hab,0,42,5.0,1500.0
2,b. 10k-150k hab,0,61,5.0,1500.0
5,b. 10k-150k hab,0,64,5.0,2200.0
1,b. 10k-150k hab,1,42,4.0,3500.0
5,c. < 10k hab,0,46,5.0,1900.0
3,c. < 10k hab,1,55,3.0,2700.0
4,b. 10k-150k hab,1,57,4.0,3500.0
7,b. 10k-150k hab,1,18,3.0,2700.0
5,a. >150k hab,1,70,3.0,1500.0
2,a. >150k hab,0,45,10.0,1500.0
5,a. >150k hab,1,38,5.0,750.0
0,c. <10k hab,0,25,3.0,
0,c. <10k hab,0,39,5.0,2700.0
2,c. <10k hab,0,43,2.0,1500.0
3,c. <10k hab,1,36,4.0,4250.0
0,b. 10k-150k hab,1,53,4.0,1500.0
5,b. 10k-150k hab,1,19,3.0,
10,c. <10k hab,0,31,5.0,1500.0
3,c. <10k hab,1,64,5.0,3500.0
2,b. 10k-150k hab,0,20,2.0,1900.0
10,c. < 10k hab,1,39,3.0,2700.0
4,c. <10k hab,1,44,4.0,1100.0
0,c. < 10k hab,0,25,1.0,3500.0
1,c. <10k hab,1,55,3.0,4750.0
6,c. < 10k hab,1,51,2.0,1900.0
4,b. 10k-150k hab,0,43,5.0,4750.0
5,b. 10k-150k hab,0,48,5.0,
2,b. 10k-150k hab,0,63,1.0,2700.0
0,b. 10k-150k hab,0,36,0.0,2200.0
0,b. 10k-150k hab,0,48,0.0,2200.0
0,b. 10k-150k hab,0,45,3.0,3500.0
5,b. 10k-150k hab,0,55,3.0,5500.0
0,b. 10k-150k hab,1,37,1.0,2700.0
0,c. < 10k hab,1,42,5.0,2700.0
2,b. 10k-150k hab,1,41,1.0,2700.0
3,b. 10k-150k hab,0,73,6.0,
3,c. <10k hab,0,55,5.0,2700.0
7,c. <10k hab,1,53,2.0,1100.0
2,c. <10k hab,0,65,0.0,1100.0
0,c. <10k hab,1,61,5.0,1100.0
5,b. 10k-150k hab,1,62,3.0,3500.0
8,b. 10k-150k hab,1,59,5.0,
4,b. 10k-150k hab,1,19,4.0,1100.0
5,b. 10k-150k hab,0,51,5.0,750.0
0,b. 10k-150k hab,0,69,0.0,
0,b. 10k-150k hab,0,72,1.0,1100.0
5,b. 10k-150k hab,0,66,5.0,2200.0
2,a. >150k hab,1,70,2.0,4750.0
0,b. 10k-150k hab,0,61,1.0,
4,b. 10k-150k hab,1,28,3.0,1900.0
3,b. 10k-150k hab,1,42,1.0,1900.0
4,b. 10k-150k hab,0,35,5.0,1100.0
0,b. 10k-150k hab,1,49,10.0,
